dataset,num_walks,attn,raw_test_auc,flp_test_auc,covered_edges,exp_dir,status
bitcoin-otc,500000,full,0.9071,0.9280,3560,outputs/bitcoin-otc/E15_COVERAGE_KCOVER_K5_NW500000_20260628-160655,ok_preseed
wiki-elec,500000,full,0.8948,0.9016,10370,outputs/wiki-elec/E15_COVERAGE_KCOVER_K5_20260628-153111,ok_preseed
wiki-rfa,1000000,full,0.8660,0.8932,17722,outputs/wiki-rfa/E15_COVERAGE_KCOVER_K5_20260628-153111,ok_preseed
epinions,2000000,full,0.9555,0.9557,84080,outputs/epinions/E15_COVERAGE_KCOVER_K5_20260628-153808,ok_preseed
bitcoin-alpha,1000000,full,0.9016,0.9132,2419,outputs/bitcoin-alpha/E15_COVERAGE_KCOVER_K5_NW1000000_20260628-162534,ok_preseed
slashdot090221,5000000,full,0.8884,0.9012,54921,outputs/slashdot090221/E15_COVERAGE_KCOVER_K5_20260628-160751,ok_preseed
bitcoin-otc,2000000,full,0.9163,0.9427,3560,outputs/bitcoin-otc/E15_COVERAGE_KCOVER_K5_NW2000000_20260628-164036,ok_preseed
bitcoin-otc,1000000,full,0.9197,0.9411,3560,outputs/bitcoin-otc/E15_SWEEP_k5_nw1000000_full,ok
epinions,1000000,full,0.9568,0.9542,84080,outputs/epinions/E15_SWEEP_k5_nw1000000_full,ok
bitcoin-alpha,2000000,full,0.9063,0.9228,2419,outputs/bitcoin-alpha/E15_SWEEP_k5_nw2000000_full,ok
slashdot090221,2000000,full,0.8814,0.8958,54921,outputs/slashdot090221/E15_SWEEP_k5_nw2000000_full,ok
epinions,3000000,full,0.9508,0.9562,84080,outputs/epinions/E15_SWEEP_k5_nw3000000_full,ok
wiki-elec,1000000,full,0.8708,0.8985,10370,outputs/wiki-elec/E15_SWEEP_k5_nw1000000_full,ok
wiki-elec,2000000,full,0.8516,0.8878,10370,outputs/wiki-elec/E15_SWEEP_k5_nw2000000_full,ok
bitcoin-alpha,5000000,full,0.9084,0.9251,2419,outputs/bitcoin-alpha/E15_SWEEP_k5_nw5000000_full,ok
slashdot090221,3000000,full,0.879,0.8975,54921,outputs/slashdot090221/E15_SWEEP_k5_nw3000000_full,ok
wiki-rfa,2000000,full,0.8567,0.8852,17722,outputs/wiki-rfa/E15_SWEEP_k5_nw2000000_full,ok
bitcoin-alpha,1000000,local,0.9063,0.9176,2419,outputs/bitcoin-alpha/E15_SWEEP_k5_nw1000000_local,ok
bitcoin-otc,500000,local,0.9132,0.9317,3560,outputs/bitcoin-otc/E15_SWEEP_k5_nw500000_local,ok
bitcoin-alpha,2000000,local,0.9165,0.9278,2419,outputs/bitcoin-alpha/E15_SWEEP_k5_nw2000000_local,ok
bitcoin-otc,1000000,local,0.9126,0.941,3560,outputs/bitcoin-otc/E15_SWEEP_k5_nw1000000_local,ok
epinions,1000000,local,0.9609,0.9557,84080,outputs/epinions/E15_SWEEP_k5_nw1000000_local,ok
bitcoin-otc,2000000,local,0.9151,0.9395,3560,outputs/bitcoin-otc/E15_SWEEP_k5_nw2000000_local,ok
epinions,2000000,local,0.9575,0.9568,84080,outputs/epinions/E15_SWEEP_k5_nw2000000_local,ok
slashdot090221,2000000,local,0.8842,0.8971,54921,outputs/slashdot090221/E15_SWEEP_k5_nw2000000_local,ok
epinions,3000000,local,0.952,0.9556,84080,outputs/epinions/E15_SWEEP_k5_nw3000000_local,ok
bitcoin-alpha,5000000,local,0.9205,0.9362,2419,outputs/bitcoin-alpha/E15_SWEEP_k5_nw5000000_local,ok
wiki-elec,500000,local,0.8731,0.9038,10370,outputs/wiki-elec/E15_SWEEP_k5_nw500000_local,ok
wiki-elec,1000000,local,0.8681,0.8994,10370,outputs/wiki-elec/E15_SWEEP_k5_nw1000000_local,ok
slashdot090221,3000000,local,0.8842,0.8984,54921,outputs/slashdot090221/E15_SWEEP_k5_nw3000000_local,ok
wiki-elec,2000000,local,0.8565,0.8943,10370,outputs/wiki-elec/E15_SWEEP_k5_nw2000000_local,ok
wiki-rfa,1000000,local,0.8661,0.8916,17722,outputs/wiki-rfa/E15_SWEEP_k5_nw1000000_local,ok
slashdot090221,5000000,local,0.8786,0.8958,54921,outputs/slashdot090221/E15_SWEEP_k5_nw5000000_local,ok
wiki-rfa,2000000,local,0.8594,0.8843,17722,outputs/wiki-rfa/E15_SWEEP_k5_nw2000000_local,ok
