node_variant,model,beta,ci95,p_fdr,sig,pseudo_r2,odds_ratio,n
in_in,GINEConv,-3.078155071144689,"[-3.183, -2.974]",0.0,***,0.1971116237461101,0.0460441264731253,151427
in_in,SiGAT,-2.248090767707647,"[-2.331, -2.165]",0.0,***,0.1225855049860203,0.1056006483862364,151427
in_in,walk_full,-1.9389297309833216,"[-2.018, -1.860]",0.0,***,0.1243853716821514,0.143857833996791,151427
in_in,walk_localattn4,-1.971595762903692,"[-2.050, -1.893]",0.0,***,0.1228843698776445,0.1392344936034273,151427
inout_inout,GINEConv,-2.3913798006669604,"[-2.493, -2.290]",0.0,***,0.1865335918085757,0.0915033403630549,167917
inout_inout,SiGAT,-1.9075933265799088,"[-1.989, -1.826]",0.0,***,0.1890889665802091,0.1484371969166538,167917
inout_inout,walk_full,-1.6212529975301115,"[-1.698, -1.544]",0.0,***,0.1572188589813077,0.1976508877883431,167917
inout_inout,walk_localattn4,-1.6495889650681437,"[-1.726, -1.573]",0.0,***,0.1587067576123337,0.1921288640674687,167917
out_in,GINEConv,-3.0686691579113408,"[-3.166, -2.971]",0.0,***,0.2157185835282516,0.0464829752115599,167917
out_in,SiGAT,-2.175897805518427,"[-2.254, -2.098]",0.0,***,0.208489130985938,0.1135062014169561,167917
out_in,walk_full,-1.8429129157611592,"[-1.918, -1.768]",0.0,***,0.1861033694558971,0.1583554774586554,167917
out_in,walk_localattn4,-1.8747409979167584,"[-1.949, -1.801]",0.0,***,0.187594546717177,0.1533946912449458,167917
out_out,GINEConv,0.0318135066296166,"[-0.048, +0.111]",0.4358304040951077,n.s.,0.1042263692440554,1.0323249655898226,143617
out_out,SiGAT,-0.0636535576588495,"[-0.134, +0.007]",0.0789235762391922,n.s.,0.1511535605469127,0.9383300204760356,143617
out_out,walk_full,-0.2080967178073927,"[-0.276, -0.140]",2.813505393878981e-09,***,0.152539412273127,0.8121284856269049,143617
out_out,walk_localattn4,-0.2031401311485288,"[-0.270, -0.136]",3.5260426373567432e-09,***,0.1534404424270022,0.8161638634322668,143617
